Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,date,Alabama_fit,Alaska_fit,Arizona_fit,Arkansas_fit,California_fit,Colorado_fit,Connecticut_fit,Delaware_fit,District of Columbia_fit,Florida_fit,Georgia_fit,Hawaii_fit,Idaho_fit,Illinois_fit,Indiana_fit,Iowa_fit,Kansas_fit,Kentucky_fit,Louisiana_fit,Maine_fit,Maryland_fit,Massachusetts_fit,Michigan_fit,Minnesota_fit,Mississippi_fit,Missouri_fit,Montana_fit,Nebraska_fit,Nevada_fit,New Hampshire_fit,New Jersey_fit,New Mexico_fit,New York_fit,North Carolina_fit,North Dakota_fit,Ohio_fit,Oklahoma_fit,Oregon_fit,Pennsylvania_fit,Rhode Island_fit,South Carolina_fit,South Dakota_fit,Tennessee_fit,Texas_fit,Utah_fit,Vermont_fit,Virginia_fit,Washington_fit,West Virginia_fit,Wisconsin_fit,Wyoming_fit
290.00000000000006,9.000000000000005,362.00000000000006,75.99999999999994,2216.0000000000005,842.0000000000001,2435.9999999999995,177.00000000000003,250.99999999999991,1379.0,1183.9999999999993,17.00000000000001,63.99999999999997,2618.000000000001,1132.0000000000007,183.99999999999991,144.0000000000001,253.0,2012.0000000000005,56.999999999999986,1281.0,4003.9999999999995,4052.9999999999986,417.99999999999966,303.0000000000002,381.0000000000002,15.99999999999999,78.0,258.0000000000001,86.00000000000004,7871.000000000003,150.99999999999994,24575.999999999996,433.9999999999999,24.999999999999993,1039.0000000000005,238.00000000000014,109.00000000000009,2719.999999999998,319.9999999999999,274.99999999999994,20.99999999999999,210.0,877.9999999999998,50.000000000000036,52.999999999999964,660.0000000000005,834.0000000000003,48.000000000000014,339.0000000000003,7.0000000000000036,2020-05-03,306.0,9.0,383.0,72.0,2231.0,845.0,2475.0,172.0,248.0,1398.0,1202.0,16.0,63.0,2651.0,1173.0,185.0,150.0,258.0,2029.0,56.0,1274.0,3961.0,4020.0,409.0,315.0,393.0,15.0,74.0,260.0,88.0,7808.0,145.0,24159.0,442.0,25.0,1048.0,233.0,110.0,2839.0,315.0,266.0,22.0,216.0,877.0,52.0,49.0,640.0,844.0,46.0,339.0,7.0
297.9999999999999,9.000000000000005,362.00000000000006,80.00000000000004,2278.000000000002,850.9999999999999,2556.0000000000005,181.9999999999999,258.0,1398.9999999999993,1245.9999999999993,17.00000000000001,63.99999999999997,2659.0000000000023,1150.9999999999995,188.00000000000006,156.0000000000001,260.99999999999983,2064.0000000000005,56.999999999999986,1317.0000000000011,4089.9999999999986,4139.000000000001,427.0000000000001,310.00000000000017,385.99999999999983,15.99999999999999,78.0,264.9999999999999,86.00000000000004,7910.0,155.99999999999994,24787.999999999993,441.99999999999966,24.999999999999993,1057.0000000000007,238.00000000000014,109.00000000000009,2837.999999999999,340.9999999999997,282.99999999999983,20.99999999999999,219.00000000000009,900.9999999999994,50.000000000000036,52.000000000000014,684.0000000000002,841.0000000000003,48.000000000000014,339.99999999999994,7.0000000000000036,2020-05-04,319.0,9.0,401.0,75.0,2304.0,869.0,2551.0,181.0,259.0,1441.0,1236.0,16.0,63.0,2757.0,1222.0,195.0,154.0,265.0,2069.0,57.0,1329.0,4115.0,4109.0,432.0,329.0,408.0,15.0,77.0,267.0,93.0,8038.0,153.0,24438.0,459.0,26.0,1092.0,238.0,113.0,2974.0,328.0,278.0,23.0,222.0,908.0,54.0,50.0,668.0,856.0,47.0,347.0,7.0
315.00000000000006,9.000000000000005,395.0000000000003,82.99999999999996,2380.9999999999995,902.9999999999995,2632.9999999999995,187.0000000000001,263.99999999999994,1470.999999999999,1299.0000000000007,17.00000000000001,64.99999999999999,2834.0000000000005,1210.9999999999998,206.99999999999997,161.0,275.0000000000001,2114.9999999999995,60.999999999999986,1390.0000000000007,4211.999999999999,4182.999999999998,454.9999999999999,342.0000000000002,409.00000000000034,15.99999999999999,78.0,270.0000000000002,91.99999999999993,8243.999999999996,162.00000000000003,25028.0,472.00000000000006,24.999999999999993,1134.9999999999998,247.00000000000009,112.99999999999993,3179.0000000000023,355.00000000000006,296.0000000000002,23.99999999999999,225.99999999999994,924.9999999999993,55.99999999999996,52.000000000000014,713.0000000000006,862.0,48.000000000000014,352.9999999999997,7.0000000000000036,2020-05-05,332.0,9.0,419.0,78.0,2377.0,893.0,2626.0,189.0,270.0,1485.0,1269.0,16.0,64.0,2865.0,1270.0,206.0,158.0,272.0,2108.0,59.0,1384.0,4266.0,4194.0,456.0,343.0,423.0,15.0,80.0,274.0,98.0,8261.0,161.0,24717.0,477.0,28.0,1136.0,242.0,115.0,3107.0,343.0,289.0,25.0,227.0,939.0,56.0,50.0,697.0,869.0,49.0,356.0,8.0
343.0000000000002,9.999999999999995,425.9999999999997,86.99999999999993,2463.9999999999995,918.9999999999993,2718.0,192.99999999999994,277.00000000000006,1539.0,1327.0,17.00000000000001,66.00000000000004,2974.0000000000023,1377.0000000000011,219.00000000000006,163.9999999999999,283.0,2167.0,61.99999999999998,1437.0000000000007,4419.999999999999,4256.000000000002,485.00000000000006,373.9999999999999,428.0,15.99999999999999,78.0,288.99999999999994,91.99999999999993,8548.999999999998,168.99999999999994,25956.000000000007,491.99999999999966,31.00000000000001,1225.0,252.99999999999983,115.00000000000001,3344.9999999999977,370.00000000000017,304.9999999999999,29.00000000000001,238.99999999999991,954.0000000000008,57.999999999999964,52.000000000000014,737.0000000000005,870.0000000000005,50.00000000000004,362.0000000000002,7.0000000000000036,2020-05-06,344.0,9.0,438.0,81.0,2451.0,917.0,2700.0,197.0,281.0,1529.0,1303.0,16.0,65.0,2973.0,1318.0,217.0,161.0,279.0,2146.0,60.0,1438.0,4416.0,4275.0,480.0,358.0,438.0,16.0,83.0,281.0,103.0,8478.0,169.0,24996.0,494.0,29.0,1181.0,247.0,118.0,3241.0,357.0,301.0,27.0,232.0,970.0,58.0,50.0,725.0,881.0,50.0,365.0,8.0
369.00000000000006,9.999999999999995,449.99999999999994,86.99999999999993,2535.0000000000014,944.0,2796.9999999999995,202.00000000000014,285.00000000000006,1599.9999999999995,1355.0000000000007,17.00000000000001,66.99999999999997,3111.0000000000005,1414.0,231.00000000000017,165.00000000000009,293.99999999999994,2207.9999999999995,61.99999999999998,1502.9999999999995,4552.0,4345.000000000001,507.9999999999996,395.9999999999998,449.0000000000002,15.99999999999999,91.00000000000006,296.99999999999994,114.0,8807.000000000002,172.00000000000003,26205.999999999993,513.0000000000001,31.00000000000001,1270.9999999999995,260.0,120.99999999999991,3588.9999999999995,388.00000000000006,316.00000000000017,30.999999999999968,238.00000000000014,984.9999999999998,60.99999999999998,52.999999999999964,768.9999999999995,891.0000000000007,51.00000000000004,374.00000000000017,7.0000000000000036,2020-05-07,357.0,9.0,457.0,83.0,2525.0,941.0,2773.0,206.0,291.0,1573.0,1336.0,16.0,66.0,3083.0,1366.0,229.0,165.0,285.0,2183.0,61.0,1493.0,4562.0,4354.0,504.0,373.0,453.0,16.0,86.0,288.0,109.0,8689.0,178.0,25273.0,512.0,30.0,1225.0,252.0,120.0,3373.0,371.0,312.0,29.0,238.0,1002.0,60.0,51.0,754.0,893.0,52.0,373.0,8.0
383.00000000000034,9.999999999999995,516.9999999999998,87.99999999999997,2613.000000000001,959.9999999999995,2874.000000000001,212.99999999999997,304.00000000000006,1669.0000000000005,1400.0000000000002,17.00000000000001,66.99999999999997,3241.000000000003,1446.9999999999993,242.99999999999997,167.99999999999994,297.9999999999998,2226.9999999999995,62.999999999999964,1559.9999999999995,4701.999999999997,4399.0,534.0000000000001,408.9999999999999,483.00000000000034,15.99999999999999,90.00000000000007,293.99999999999983,120.9999999999999,8960.000000000004,181.0,26357.999999999993,530.0000000000001,33.00000000000003,1305.9999999999995,265.99999999999983,124.00000000000003,3714.999999999999,399.0000000000001,320.0000000000003,30.999999999999968,241.99999999999991,1024.9999999999989,60.99999999999998,52.999999999999964,812.0000000000006,904.9999999999999,52.00000000000001,383.9999999999998,7.0000000000000036,2020-05-08,370.0,10.0,476.0,86.0,2599.0,965.0,2844.0,214.0,302.0,1616.0,1369.0,16.0,67.0,3192.0,1412.0,240.0,168.0,292.0,2220.0,62.0,1547.0,4706.0,4429.0,528.0,387.0,469.0,16.0,89.0,295.0,114.0,8893.0,186.0,25550.0,529.0,32.0,1270.0,256.0,122.0,3503.0,385.0,322.0,30.0,244.0,1034.0,62.0,51.0,782.0,905.0,53.0,382.0,8.0
390.0000000000001,9.999999999999995,532.0000000000003,87.99999999999997,2686.9999999999986,967.0000000000002,2932.0000000000005,221.00000000000003,310.99999999999994,1715.000000000001,1403.0000000000005,17.00000000000001,66.99999999999997,3349.0000000000027,1490.000000000001,252.00000000000006,174.0,304.0,2267.0,63.99999999999995,1613.9999999999998,4839.999999999998,4529.999999999998,558.0000000000005,420.99999999999994,494.0000000000003,15.99999999999999,90.00000000000007,313.00000000000006,131.00000000000006,9115.999999999998,191.00000000000009,26584.00000000001,551.0000000000005,35.00000000000002,1331.0,270.0000000000001,127.00000000000011,3779.000000000001,417.99999999999994,330.0,34.000000000000036,241.99999999999991,1066.0000000000002,66.0,52.999999999999964,826.9999999999998,921.0000000000002,52.00000000000001,397.9999999999998,7.0000000000000036,2020-05-09,383.0,10.0,495.0,89.0,2673.0,990.0,2913.0,222.0,312.0,1659.0,1402.0,16.0,67.0,3302.0,1458.0,252.0,172.0,299.0,2256.0,63.0,1601.0,4845.0,4501.0,552.0,402.0,484.0,16.0,93.0,302.0,120.0,9090.0,194.0,25826.0,547.0,33.0,1315.0,260.0,124.0,3632.0,400.0,333.0,32.0,249.0,1065.0,64.0,51.0,811.0,917.0,55.0,391.0,8.0
392.9999999999998,9.999999999999995,535.9999999999999,91.00000000000006,2715.999999999998,971.0000000000007,2967.0,221.00000000000003,322.99999999999994,1720.9999999999998,1406.0000000000007,17.00000000000001,66.99999999999997,3405.9999999999995,1508.0000000000011,264.9999999999998,174.0,304.0,2285.9999999999995,63.99999999999995,1644.0000000000002,4979.0,4555.0,577.9999999999997,430.00000000000034,503.00000000000017,15.99999999999999,90.00000000000007,309.99999999999994,133.0000000000001,9256.0,199.99999999999983,26797.99999999999,564.0000000000005,35.00000000000002,1340.999999999999,272.00000000000017,127.00000000000011,3806.000000000001,422.00000000000006,330.99999999999983,34.000000000000036,243.0,1094.0000000000005,66.99999999999996,52.999999999999964,839.0000000000005,930.9999999999995,54.00000000000003,400.0,7.0000000000000036,2020-05-10,396.0,10.0,515.0,91.0,2748.0,1014.0,2981.0,230.0,322.0,1702.0,1434.0,16.0,68.0,3412.0,1502.0,265.0,175.0,305.0,2291.0,64.0,1654.0,4981.0,4569.0,576.0,417.0,499.0,16.0,96.0,309.0,126.0,9279.0,203.0,26101.0,564.0,34.0,1360.0,265.0,127.0,3758.0,414.0,343.0,34.0,255.0,1097.0,66.0,51.0,839.0,929.0,56.0,399.0,8.0
403.00000000000034,9.999999999999995,542.0000000000005,94.0,2778.9999999999986,987.0000000000007,3007.9999999999995,225.00000000000009,327.99999999999983,1734.9999999999986,1443.9999999999989,17.00000000000001,70.00000000000003,3458.9999999999973,1540.0000000000002,270.99999999999983,180.0,311.0000000000002,2308.000000000001,64.99999999999996,1682.9999999999993,5108.000000000001,4583.999999999998,590.9999999999997,434.9999999999998,514.0000000000003,15.99999999999999,97.99999999999994,312.00000000000017,133.0000000000001,9340.0,208.00000000000009,27003.00000000001,575.0000000000003,36.000000000000014,1357.000000000001,274.0000000000001,129.99999999999997,3832.000000000002,429.9999999999999,346.0000000000002,34.000000000000036,251.0000000000002,1116.9999999999998,67.99999999999999,52.999999999999964,849.9999999999995,945.0000000000007,54.00000000000003,409.0000000000003,7.0000000000000036,2020-05-11,409.0,10.0,536.0,93.0,2822.0,1038.0,3046.0,239.0,332.0,1745.0,1466.0,16.0,69.0,3522.0,1546.0,277.0,178.0,312.0,2325.0,65.0,1707.0,5112.0,4634.0,600.0,433.0,513.0,16.0,99.0,316.0,132.0,9461.0,211.0,26375.0,582.0,36.0,1405.0,269.0,129.0,3881.0,429.0,352.0,35.0,260.0,1129.0,68.0,52.0,868.0,940.0,57.0,408.0,8.0
434.9999999999998,9.999999999999995,562.0000000000002,95.0,2879.0000000000005,1010.0000000000009,3040.999999999999,236.99999999999997,336.0,1779.000000000001,1498.0000000000005,17.00000000000001,69.00000000000001,3600.999999999998,1577.9999999999986,288.99999999999983,184.0,321.0,2347.0000000000005,64.99999999999996,1755.9999999999998,5141.000000000002,4674.000000000002,614.0000000000003,457.0000000000003,528.9999999999997,15.99999999999999,99.99999999999994,320.99999999999983,142.0,9531.000000000002,218.99999999999997,27281.999999999993,600.0000000000002,37.99999999999998,1436.0000000000007,277.9999999999998,129.99999999999997,3914.000000000002,443.99999999999994,354.9999999999999,39.00000000000002,265.99999999999983,1146.000000000001,73.00000000000003,52.999999999999964,892.0000000000001,962.0000000000002,57.99999999999996,417.9999999999998,7.0000000000000036,2020-05-12,421.0,10.0,556.0,95.0,2896.0,1062.0,3110.0,247.0,341.0,1787.0,1498.0,17.0,70.0,3631.0,1588.0,290.0,181.0,319.0,2358.0,66.0,1758.0,5239.0,4696.0,624.0,448.0,528.0,16.0,103.0,322.0,137.0,9634.0,219.0,26648.0,599.0,37.0,1449.0,273.0,130.0,4002.0,443.0,361.0,37.0,266.0,1161.0,70.0,52.0,895.0,951.0,59.0,416.0,9.0
