California,Connecticut,Illinois,Maryland,Massachusetts,Michigan,New Jersey,New York,Rhode Island,date,California_fit,Connecticut_fit,Illinois_fit,Maryland_fit,Massachusetts_fit,Michigan_fit,New Jersey_fit,New York_fit,Rhode Island_fit
2956.9999999999977,3125.0,3791.999999999998,1809.0000000000002,5314.999999999999,4714.000000000003,9714.000000000002,27448.000000000004,461.9999999999999,2020-05-13,3001.0,3192.0,3763.0,1818.0,5410.0,4779.0,9809.0,27246.0,459.0
3051.9999999999973,3218.999999999999,3927.9999999999995,1865.9999999999993,5482.0,4787.000000000001,9946.0,27617.0,468.00000000000017,2020-05-14,3072.0,3249.0,3871.0,1865.0,5519.0,4830.0,9971.0,27554.0,473.0
3136.0,3284.9999999999995,4059.0000000000027,1911.0000000000011,5592.0,4825.000000000002,10148.000000000002,27755.000000000004,478.99999999999983,2020-05-15,3142.0,3303.0,3977.0,1911.0,5621.0,4877.0,10125.0,27857.0,486.0
3207.9999999999986,3338.9999999999995,4129.000000000001,1956.9999999999989,5705.0,4881.000000000002,10261.000000000002,27953.000000000007,489.0000000000001,2020-05-16,3210.0,3354.0,4082.0,1955.0,5716.0,4920.0,10271.0,28157.0,499.0
3239.9999999999995,3408.0,4177.000000000001,1991.999999999999,5797.000000000001,4891.000000000002,10363.000000000005,28167.99999999999,499.00000000000006,2020-05-17,3277.0,3403.0,4185.0,1998.0,5805.0,4959.0,10408.0,28453.0,511.0
3278.999999999999,3450.0,4233.999999999997,2022.9999999999998,5861.999999999999,4915.0,10438.999999999998,28302.000000000004,506.00000000000006,2020-05-18,3342.0,3448.0,4286.0,2039.0,5887.0,4995.0,10538.0,28745.0,524.0
3403.000000000002,3471.9999999999995,4379.000000000001,2081.0,5938.000000000002,5017.0,10587.000000000002,28436.999999999993,532.0,2020-05-19,3405.0,3491.0,4385.0,2078.0,5963.0,5028.0,10660.0,29033.0,536.0
3496.999999999998,3528.999999999999,4525.000000000002,2122.9999999999995,6065.999999999997,5059.999999999997,10749.000000000002,28539.99999999999,538.0,2020-05-20,3467.0,3531.0,4482.0,2115.0,6033.0,5058.0,10775.0,29316.0,548.0
3582.999999999998,3582.999999999999,4607.0,2158.999999999999,6148.000000000002,5129.000000000001,10846.000000000002,28663.000000000004,556.0,2020-05-21,3527.0,3569.0,4577.0,2150.0,6096.0,5085.0,10882.0,29595.0,559.0
3666.0000000000023,3637.0000000000005,4715.0,2206.9999999999995,6228.000000000001,5157.999999999999,10984.999999999998,28801.999999999996,579.0000000000001,2020-05-22,3585.0,3603.0,4669.0,2184.0,6154.0,5109.0,10981.0,29870.0,570.0
3738.0000000000014,3675.0000000000014,4789.999999999998,2243.0,6304.000000000002,5223.000000000001,11081.999999999996,28899.999999999993,597.0,2020-05-23,3641.0,3636.0,4759.0,2215.0,6207.0,5130.0,11074.0,30140.0,580.0
3754.0000000000023,3693.0000000000005,4856.000000000001,2277.000000000001,6372.000000000002,5228.0,11137.999999999998,29045.99999999999,608.0000000000001,2020-05-24,3695.0,3665.0,4846.0,2245.0,6255.0,5150.0,11160.0,30406.0,591.0
3747.0,3693.0,4930.0,2272.0,6297.0,5167.0,11239.0,30667.0,600.0,2020-05-25,,,,,,,,,
3796.0,3718.0,5012.0,2298.0,6336.0,5182.0,11312.0,30924.0,610.0,2020-05-26,,,,,,,,,
3844.0,3741.0,5090.0,2322.0,6370.0,5196.0,11379.0,31175.0,618.0,2020-05-27,,,,,,,,,
3890.0,3763.0,5166.0,2345.0,6400.0,5208.0,11441.0,31423.0,627.0,2020-05-28,,,,,,,,,
3934.0,3782.0,5239.0,2366.0,6427.0,5218.0,11497.0,31665.0,635.0,2020-05-29,,,,,,,,,
3976.0,3799.0,5309.0,2385.0,6450.0,5227.0,11549.0,31902.0,643.0,2020-05-30,,,,,,,,,
4016.0,3815.0,5376.0,2402.0,6471.0,5235.0,11595.0,32135.0,650.0,2020-05-31,,,,,,,,,
